0x2dd8510,epoint,11,0,0,0x2dd8ac0:0x2dd91f0:0x2dd9290:0x2dd9420:0x2dd9880:0x2dd99c0:0x2dd9f60:0x2dd9ec0:0x2dd9970:0x2dd93d0:0x2dd8930,na,na
0x2dd94c0,funccall,print_end_colorize,8,1,0,0x2dd9880:0x2dd99c0:0x2dd9f60:0x2dd9ec0:0x2dd9970:0x2dd9650:0x2dd9790:0x2dd9560,0x2dd9420,na
0x2dd9560,funccall,print_start_colorize,7,2,0,0x2dd9880:0x2dd99c0:0x2dd9f60:0x2dd9ec0:0x2dd9970:0x2dd9650:0x2dd9790,0x2dd94c0:0x2dd9420,na
0x2dd9650,funccall,__overflow,6,3,0,0x2dd9880:0x2dd99c0:0x2dd9f60:0x2dd9ec0:0x2dd9970:0x2dd9790,0x2dd9420:0x2dd94c0:0x2dd9560,na
0x2dd9790,funccall,print_end_colorize,5,4,0,0x2dd9880:0x2dd99c0:0x2dd9f60:0x2dd9ec0:0x2dd9970,0x2dd9650:0x2dd9420:0x2dd94c0:0x2dd9560,na
0x2dd9880,funccall,dcgettext,0,12,0,na,0x2dd9790:0x2dd8de0:0x2dd8ed0:0x2dd8510:0x2dd9650:0x2dd9420:0x2dd94c0:0x2dd9560:0x2dd8ca0:0x2dd8bb0:0x2dd8ac0:0x2dd8930,na
0x2dd9970,funccall,print_start_colorize,1,12,0,0x2dd99c0,0x2dd9790:0x2dd8de0:0x2dd8ed0:0x2dd8510:0x2dd9650:0x2dd9420:0x2dd94c0:0x2dd9560:0x2dd8ca0:0x2dd8bb0:0x2dd8ac0:0x2dd8930,na
0x2dd99c0,funccall,printf_errno,6,13,0,0x2dd9f60:0x2dd9ec0:0x2dd9bf0:0x2dd9d30:0x2dd9a60:0x2dd9b00,0x2dd9970:0x2dd9790:0x2dd8de0:0x2dd8ed0:0x2dd8510:0x2dd9650:0x2dd9420:0x2dd94c0:0x2dd9560:0x2dd8ca0:0x2dd8bb0:0x2dd8ac0:0x2dd8930,na
0x2dd9a60,funccall,print_end_colorize,5,1,0,0x2dd9f60:0x2dd9ec0:0x2dd9bf0:0x2dd9d30:0x2dd9b00,0x2dd99c0,na
0x2dd9b00,funccall,print_start_colorize,4,2,0,0x2dd9f60:0x2dd9ec0:0x2dd9bf0:0x2dd9d30,0x2dd9a60:0x2dd99c0,na
0x2dd9bf0,funccall,__overflow,3,3,0,0x2dd9f60:0x2dd9ec0:0x2dd9d30,0x2dd99c0:0x2dd9a60:0x2dd9b00,na
0x2dd9d30,funccall,print_end_colorize,2,4,0,0x2dd9f60:0x2dd9ec0,0x2dd9bf0:0x2dd99c0:0x2dd9a60:0x2dd9b00,na
0x2dd9ec0,funccall,__overflow,1,17,0,0x2dd9f60,0x2dd9d30:0x2dd9790:0x2dd8de0:0x2dd8ed0:0x2dd8510:0x2dd9650:0x2dd9420:0x2dd94c0:0x2dd9560:0x2dd9bf0:0x2dd99c0:0x2dd9a60:0x2dd9b00:0x2dd8ca0:0x2dd8bb0:0x2dd8ac0:0x2dd8930,na
0x2dd9f60,ret,0,18,0,na,0x2dd9ec0:0x2dd9d30:0x2dd9790:0x2dd8de0:0x2dd8ed0:0x2dd8510:0x2dd9650:0x2dd9420:0x2dd94c0:0x2dd9560:0x2dd9bf0:0x2dd99c0:0x2dd9a60:0x2dd9b00:0x2dd8ca0:0x2dd8bb0:0x2dd8ac0:0x2dd8930,na
